text,airline_sentiment
  virginamerica what   dhepburn say  ,1
  virginamerica plus you have add commercials to the experience   tacky  ,2
  virginamerica i do not today   must mean i need to take another trip  ,1
  virginamerica it be really aggressive to blast obnoxious   entertainment   in your guests   face   they have little recourse,0
  virginamerica and it be a really big bad thing about it,0
  virginamerica seriously would pay   a flight for seat that do not have this play   it be really the only bad thing about fly va,0
  virginamerica yes   nearly every time i fly vx this   ear worm   will not go away    ,2
  virginamerica really miss a prime opportunity for men without hat parody   there   https    t co mwpggrezp,1
  virginamerica well   i do not but now i do      d,2
  virginamerica it be amaze   and arrive an hour early   you be too good to me  ,2
  virginamerica do you know that suicide be the second lead because of death among teens  ,1
  virginamerica i   pretty graphics   so much better than minimal iconography     d,2
  virginamerica this be such a great deal   already think about my nd trip to   australia   i have not even go on my st trip yet     p,2
  virginamerica   virginmedia i be fly your   fabulous   seductive sky again   you take all the   stress away from travel http    t co ahlxhhkiyn,2
  virginamerica thank  ,2
  virginamerica sfo pdx schedule be still mia  ,0
  virginamerica so excite for my first cross country flight lax to mco i have hear nothing but great things about virgin america     daystogo,2
  virginamerica i fly from nyc to sfo last week and could not fully sit in my seat due to two large gentleman on either side of me   help  ,0
i   fly   virginamerica    ,2
  virginamerica you know what would be amazingly awesome   bos fll please               i want to fly with only you  ,2
  virginamerica why be your first fare in may over three time more than other carriers when all seat be available to select      ,0
  virginamerica i love this graphic   http    t co utgrrwaaa,2
  virginamerica i love the hipster innovation   you be a feel good brand  ,2
  virginamerica will you be make bos   las non stop permanently anytime soon  ,1
  virginamerica you guy mess up my seat   i reserve seat with my friends and you guy give my seat away     i want free internet,0
  virginamerica status match program   i apply and it be be three weeks   call and email with no response  ,0
  virginamerica what happen you be vegan food options     at least say on you be site so i know i will not be able eat anything for next hrs   fail,0
  virginamerica do you miss me   do not worry we will be together very soon  ,1
  virginamerica amaze to me that we can not get any cold air from the vent     vx   noair   worstflightever   roast   sfotobos,0
  virginamerica lax to ewr   middle seat on a red eye   such a noob maneuver     sendambien   andchexmix,1
  virginamerica hi   i just bked a cool birthday trip with you   but i can not add my elevate no   because i enter my middle name during flight book problems  ,0
  virginamerica be the hours of operation for the club at sfo that be post online current  ,1
  virginamerica help   leave expensive headphones on flight iad to lax today   seat a   no one answer l   f number at lax  ,0
